Palabra;Pronun;Significado;id
gold ;ɡoʊld ;oro ;1601
gone;ɡɔn;desaparecido;1133
good;(gud)  ;	Bueno, buena, buenos, buenas;321
good ;ɡʊd ;bueno ;1602
got;ɡɑt;consiguió;1134
got ;ɡɑt ;tengo ;1603
govern ;ˈɡʌvərn ;govern ;1604
government;(gevéRn-mEnt)  ;	Gobierno;322
grain;(grein)  ;	Grano, cereal;323
grass;(graas)  ;	Pasto, césped;324
great;(greit)  ;	Gran, grande, grandes;325
great ;ɡreɪt ;grande ;1605
Greek;ɡrik;Griego;1135
green;(gríin)  ;	Verde;326
green ;ɡrin ;verde ;1606
grew;ɡru;creció;1136
grey;(grei)  ;	Gris;327
grip;(ping-ped)  (grip) ;	Apretón, agarro;328
ground;ɡraʊnd;suelo;1137
ground ;ɡraʊnd ;suelo ;1607
group;(ing-ed)  (gruup) ;	Grupo;329
group ;ɡrup ;grupo ;1608
grow;ɡroʊ;crecer;1138
grow ;ɡroʊ ;crecer ;1609
growth;(groUz)  ;	Crecimiento, desarrollo;330
guess;ɡɛs;adivinar;1139
guide;(guiding-d)  (gaid) ;	Guía;331
gun;(gan)  ;	Arma de fuego, escopeta;332
had;hæd;tenía;1140
had ;hæd ;tenía ;1610
hair;(jeAR)  ;	Pelo, cabello ;333
half;hæf;medio;1141
half ;hæf ;medio ;1611
hammer;(er-ing-ed)  (jámER) ;	Martillo;334
hand;(jand)  ;	Mano;335
hand ;hænd ;mano ;1612
hanging;(jánG-inG)  ;	Colgando, colgante, colgadura;336
happen ;ˈhæpən ;pasar ;1613
happened;ˈhæpənd;sucedió;1142
happy;(un)  jápi) ;	Feliz;337
harbour;(ing-ed)  (jáaRbER) ;	Puerto, asilo ;338
hard;(jaaRd)  ;	Duro, difícil;339
hard ;hɑrd ;duro ;1614
harmony;(jáaRmoni)  ;	Armonía;340
has;hæz;tiene;1143
hat;(hatter)  (jat) ;	Sombrero;341
hate;(er-ing-ed) ( jeit) ;	Odio, aborrecimiento;342
have;(jav)  ;	Tener, haber, poseer;343
he;(jíi)  ;	El;344
he ;hi ;él ;1615
head;(er-ing-ed)  (jed) ;	Cabeza;345
head ;hɛd ;cabeza ;1616
healthy;(jélzi) ;	Sano, saludable;346
hear;hir;escuchar;1144
heard;hɜrd;escuchó;1145
heard ;hɜrd ;oído ;1617
hearer;(jíaring)  ;	Oído, audiencia, oyendo;347
heart;(jaaRt)  ;	Corazón;348
heat;(er-ing-ed)  (jiit) ;	Calor;349
heat ;hit ;calentar ;1618
heavy;ˈhɛvi;pesado;1146
held;hɛld;sostuvo;1147
help;(er-ing-ed)  (jelp) ;	Ayuda, socorro, auxilio ;350
help ;hɛlp ;ayuda ;1619
help ;hɛlp ;ayuda ;1620
her;(jeeR)  ;	Su (de ella;351
her ;hɜr ;su ;1621
here;(jíAR)  ;	Aquí;352
here ;hir ;aquí ;1622
hers;(jeeRz)  ;	Suyo, suya (de ella;353
herself;(jeeRsélf)  ;	Ella misma;354
high;(jai)  ;	Alto, elevado, altivo, noble;355
hill;hɪl;colina;1148
him;hɪm;a él;1149
him ;hɪm ;él ;1623
himself;(jimsélf)  ;	El mismo;356
his;(jiz)  ;, su (de él;357
his ;hɪz ;su ;1624
history;(jístori)  ;	Historia;358
hit;hɪt;golpear;1150
hokk;(ing-ed)  (juk) ;	Gancho, anzuelo;361
hold;hoʊld;sostener;1151
hold ;hoʊld ;mantenga ;1625
hole;(joUl)  ;	Hoyo, agujero;359
hollow;(jóloU)  ;	Hueco;360
home;hoʊm;hogar;1152
home ;hoʊm ;casa ;1626
hope;(hoping-d) (joUp) ;	Esparanza;362
horn;(jooRn)  ;	Cuerno, corneta;363
horse;(jooRs)  ;	Caballo;364
horse ;hɔrs ;caballo ;1627
hospital;(jóspitAL)  ;	Hospital;365
hot;hɑt;caliente;1153
hot ;hɑt ;caliente ;1628
hour;(ˈouər)  ;	Hora;366
hour ;ˈaʊər ;hora ;1629
hours;ˈaʊərz;horas;1154
house;(jaus)  ;	Casa;367
house ;haʊs ;casa ;1630
how;(jau)  ;	Cómo, qué;368
how ;haʊ ;cómo ;1631
however;ˌhaʊˈɛvər;sin embargo;1155
huge;hjuʤ;enorme;1156
human;ˈhjumən;humano;1157
humour;(jiúumER)  ;	Humor, humorada;369
hundred;ˈhʌndrəd;centenar;1158
hundred ;ˈhʌndrəd ;cien ;1632
hunting;ˈhʌntɪŋ;caza;1159
i;(ai)  ;	Yo;370
i ;aɪ ;yo;1633
I’ll;aɪl;Enfermo;1160
ice;(icing-iced)  (ais) ;	Hielo;371
idea;(aidía)  ;	Idea;372
idea ;aɪˈdiə ;idea ;1634
if;(if)  ;	Si;373
if ;ɪf ;si ;1635
iiron;(áieRn)  ;	Hierro;386
ill;(il)  ;	Enfermo;374
important;(un)  (impóoRtant) ;	Importante ;375
impulse;(ímpals)  ;	Impulso;376
in;(in)  ;	En, dentro;377
in ;ɪn ;en ;1636
inch ;ɪnʧ ;pulgada ;1637
inches;ˈɪnʧəz;pulgadas;1161
include;ɪnˈklud;incluir;1162
increase;(increasing-ed)( incríis) ; Aumento, incremento ;378
Indian;ˈɪndiən;indio;1163
indicate;ˈɪndəˌkeɪt;indicar;1164
industry;(indastri)  ;	Industria;379
inerest;inerest;interés;1165
information;ˌɪnfərˈmeɪʃən;información;1166
ink;(ink)  ;	Tinta;380
insect;(insect)  ;	Insecto;381
insects;ˈɪnˌsɛkts;insectos;1167
inside;ɪnˈsaɪd;adentro;1168
instead;ɪnˈstɛd;en cambio;1169
instrument;(instrumEnt)  ;	Instrumento;382
instruments;ˈɪnstrəmənts;instrumentos;1170
insurance;(inSHúrans)  ;	Seguro ;383
interest;(ing-ed)  íntErest) ;	Interés ;384
interest ;ˈɪntrəst ;interés ;1638
interesting;ˈɪntrəstɪŋ;interesante;1171
into;ˈɪntu;en;1172
invention;(invénSHon)  ;	Invención;385
iron;ˈaɪərn;hierro;1173
is;ɪz;es;1174
island;(áiland)  ;	Isla;387
island ;ˈaɪlənd ;isla ;1639
isn’t;ˈɪzənt;no es;1175
it;(it)  ;	El, ella, ello, lo, le (pronombre neutro;388
it ;ɪt ;lo ;1640
it’s;ɪts;es;1176
its;(its)  ; neutro;389
it's;ɪts (its);Es (contracción de it is);1915
itself;(itsélf)  ;	El mismo, la misma, lo mismo (neutro;390
january;(yánuari)  ;	Enero;391
Japanese;ˌʤæpəˈniz;japonés;1177
jelly;(yéli)  ;	Jalea, jelatina;392
jewel;(jeweler)  (yúuel) ;	Joya;393
job;ʤɑb;trabajo;1178
join;(ing-ed) yóin)  ;	Unión, juntura, empalme;394
joined;ʤɔɪnd;unido;1179
journey;(yéeRni)  ;	Viaje;395
judge;(judging-ed)  yad@) (yady-y) ; Juez, árbitro, magistrado ;396
july;(yuulái)  ;	Julio;397
jump;(er-ing-ed)  (yamp) ;	Salto;398
jumped;ʤʌmpt;saltó;1180
june;(yuun)  ;	Junio;399
just;ʤʌst;justo;1181
just ;ʤʌst ;sólo ;1641
keep;(kiip)  ;	Mantener, guardar;400
keep ;kip ;mantener ;1642
kept;kɛpt;conservó;1182
kettle;(quétEL)  ;	Tetera;401
key;(kii)  ;	Llave;402
kick;(er-ing-ed)  (kik) ;	Puntapié;403
killed;kɪld;delicado;1183
kind;(caind) ;	Bondadoso, amable;404
kind ;kaɪnd ;amable ;1643
king;kɪŋ;rey;1184
king ;kɪŋ ;rey ;1644
kiss;(ing-ed) ( kis) ;	Beso;405
knee;(nii)  ;	Rodilla;406
knew;nu;sabía;1185
knew ;nu ;sabía ;1645
knive;(náif)  ;	Cuchillo;407
knot;(ting-ted)  (not) ;Nudo;408
know;noʊ;saber;1186
knowledge;NULL;Conocimiento;409
known;noʊn;conocido;1187
lady;ˈleɪdi;dama;1188
lake;leɪk;lago;1189
land;(land)  ;	Terreno, país, tierra ;410
land ;lænd ;tierra ;1646
language;(lánG-gui@) (lánG-uiy) ;	Idioma, lenguaje;411
large;lɑrʤ;grande;1190
large ;lɑrʤ ;grande ;1647
last;(laast)  ;	Último, última, últimos, últimas;412
last ;læst ;último ;1648
late;(leit)  ;	Tarde, último, atrasado;413
late ;leɪt ;tarde ;1649
later;ˈleɪtər (ley-ter);Después;1916
laugh;(er-ing-ed)  (laaf) ;	Risa;414
laugh ;læf ;reír ;1650
laughed;læft;se rio;1191
law;(loo)  ;	Ley;415
lay;leɪ;poner;1192
lay ;leɪ ;poner ;1651
lead;(led)  ;	Plomo;416
lead ;lid ;plomo ;1652
leaf;(liif)  ;	Hoja;417
learn;lɜrn;aprender;1193
learn ;lɜrn ;aprender ;1653
learning;(léeRninG)  ;	Aprendiendo, erudición;418
least;(liist)  ;	Mínimo, el menor, el mínimo, el más chico;419
leather;(l’DzeR)  (lédeR) ;	Cuero;420
leave;liv;dejar;1194
led;lɛd;condujo;1195
left;(left)  ;	Izquierda;421
left ;lɛft ;dejar ;1654
leg;(leg)  ;	Pierna;422
legs;lɛɡz;piernas;1196
length;lɛŋkθ;longitud;1197
less;(les)  ;	Menor, menos;423
less ;lɛs ;menos ;1655
let;(let)  ;	Dejar, permitir, conceder, arrendar;424
let’s;lɛts;vamos;1198
letter;( léteR) ;	Carta, letra;425
letter ;ˈlɛtər ;letra ;1656
level;(ler-linig-led) ( lévEL) ;	Nivel, a nivel, plano ;426
library;(láibreri)  ;	Biblioteca;427
lie;laɪ;mentir;1199
life;laɪf;vida;1200
lift;(er-ing-ed) ( lift) ;	Ascensor, alzamiento ;428
lifted;ˈlɪftəd;levantado;1201
light;(er-ing-ed)  (lait) ;	Luz, liviano;429
light ;laɪt ;luz ;1657
like;(un)  laik) ;	Parecido, semejante;430
like ;laɪk ;como ;1658
limit;(-in)  -ed)  (límit);Límte;431
line;(lain)  ;	Línea, raya;432
line ;laɪn ;línea ;1659
linen;(linen)  ;	Lienzo, ropa blanca;433
lip;(lip)  ;	Labio;434
liquid;(lícuid)  ;	Líquido;435
list;(list)  ;	Lista;436
list ;lɪst ;lista ;1660
listen;ˈlɪsən;escuchar;1202
listen ;ˈlɪsən ;escuchar ;1661
little;(litEL)  ;	Pequeño, poco;437
little ;ˈlɪtəl ;pequeño ;1662
live;lɪv;vivir;1203
live ;lɪv ;vivir ;1663
living;(líving)  ;	Vivo, viviendo;438
located;ˈloʊˌkeɪtəd;situado;1204
lock;(er-ing-ed)  (lok) ;	Cerradura, cansado;439
long;(long)  ;	Largo, extenso;440
long ;lɔŋ ;largo ;1664
look;(ing-ed)  (luk) ;	Mirada;441
look ;lʊk ;mirar ;1665
loose;(luus)  ;	Suelto, desatado, flojo;442
loss;(los)  ;	Pérdida;443
lost;lɔst;perdido;1205
lot;lɑt;lote;1206
lot ;lɑt ;mucho ;1666
loud;(laud)  ;	Ruido, clamoroso, fuerte;444
love;(r-ing-ed)  (lav) ;	Amor, afecto;445
love ;lʌv ;amor ;1667
love ;lʌv ;amor ;1668
low;(loU)  ;	Bajo, pequeño;446
low ;loʊ ;bajo ;1669
machine;(maSHiin)  ;	Máquina;447
machine ;məˈʃin ;máquina ;1670
made;meɪd;hecho;1207
made ;meɪd ;hecho ;1671
main;meɪn;principal;1208
main ;meɪn ;principal ;1672
major;ˈmeɪʤər;importante;1209
make;(meik)  ;	Hacer, fabricar;448
maker;(méiqueR)  ;	Fabricante, constructor;449
male;(méil)  ;	Masculino, macho;450
man;(man)  ;	Hombre;451
man ;mæn ;hombre ;1673
manager;(mánayeR)  ;	Gerente, director;452
many;ˈmɛni;muchos;1210
many ;ˈmɛni ;muchos ;1674
map;(map)  ;	Mapa;453
map ;mæp ;mapa ;1675
march;(maaR-ch)  ;	Marzo;454
mark;(er-ing-ed)  (maaRK) ;	Marca, señal, huella ;455
mark ;mɑrk ;marca ;1676
market;(máaRquet)  ;	Mercado;456
married;(un)  (márrid) ;	Casado;457
mass;(mas)  ;	Masa, misa;458
match;(mach)  ;	Fósforo;459
material;(matíErial)  ;	Material;460
matter;ˈmætər;asunto;1211
may;(mei)  ;	Mayo;461
may;(mei)  ;	Poder, ser posible;462
may /might ;meɪ /maɪt ;puede ;1677
maybe;ˈmeɪbi;tal vez;1212
me;(míi)  ;	Me, mi;463
me ;mi ;a mi;1678
meal;(miil)  ;	Comida;464
mean;min;significar;1213
mean ;min ;significar ;1679
measure;(measuring-d) ( meshur)  ;Medida;465
measure ;ˈmɛʒər ;medir ;1680
meat;miiit;Carne;466
medical;(médicAL)  ;	Medicinal, médica;467
meet;mit;encontrarse;1214
meeting;(miitinG)  ;	Reunión, cita, asamblea;468
melody;ˈmɛlədi;melodía;1215
members;ˈmɛmbərz;miembros;1216
memory;(mémori)  ;	Memoria, recuerdo;469
men;mɛn;hombres;1217
men ;mɛn ;hombres ;1681
metal;(métAL)  ;	Metal;470
method;ˈmɛθəd;método;1218
middle;(mídEL)  ;	Medio;471
might;maɪt;podría;1219
mile;maɪl;milla;1220
mile ;maɪl ;milla ;1682
military;(mílitAri)  ;	Militar;472
milk;(er-ing-ed)  (milk) ;	Leche;473
million;ˈmɪljən;millón;1221
mind;(maind)  ;	Mente, entendimiento, inteligencia;474
mind ;maɪnd ;mente ;1683
mine;(main)  ;	Mío, mía, míos, mías, lo mío, la mía;475
mine;(main) ;	Mina;476
miner;maaineR;minero, minera;477
minute;(mínit)  ;	Minuto;478
minute ;ˈmɪnət ;minuto ;1684
minutes;ˈmɪnəts;minutos;1222
miss;mɪs;extrañar;1223
miss ;mɪs ;señorita ;1685
mist;(mist)  ;	Niebla, neblina;479
mixed;(míkst) ;	Mezclado;480
modern;ˈmɑdərn;moderno;1224
molecules;ˈmɑləˌkjulz;moléculas;1225
moment;ˈmoʊmənt;momento;1226
monday;(mándEi)  ;	Lunes;481
money;(máni)  ;	Dinero, moneda;482
money ;ˈmʌni ;dinero ;1686
monkey;(mánG-ki)  ;	Mono;483
month;(mánz)  ;	Mes;484
months;mʌnθs;meses;1227
moon;(muun)  ;	Luna;485
moon ;mun ;luna ;1687
more;(mooR)   ; 	Más;486
more ;mɔr ;más ;1688
morning;(móoR-ninG)  ;	Mañana (la;487
most;(moUst)  ;	El más;488
most ;moʊst ;más ;1689
mother;(máDZeR)  mádeR) ;	Madre;489
mother ;ˈmʌðər ;madre ;1690
motion;(móU-Shon)  ;	Movimiento, moción;490
mountain;(máunten)  ;	Montaña;491
mountain ;ˈmaʊntən ;montaña ;1691
mouth;(mauz)  ;	Boca;492
move;(ing-ed)  (muuv) ;	Movimiento;493
move ;muv ;mover ;1692
movement;ˈmuvmənt;movimienot;1228
much;(mách)  ;	Mucho, mucha;494
much ;mʌʧ ;mucho ;1693
muscle;(másEL)  ;	Músculo;495
music;(miúuzik)  ;	Música;496
music ;ˈmjuzɪk ;música ;1694
must;mʌst;debe;1229
must ;mʌst ;debe ;1695
my;(mai)  ;	Mi, mis;497
my ;maɪ ;mi ;1696
myself;(maisélf)  ;	Yo mismo;498
nail;(er-ing-ed)  (neil) ;	Clavo, uña;499
name;(naming, -ed)  (neim) ;	Nombre;500
name ;neɪm ;nombre ;1697
narrow;(nárroU)  ;	Estrecho, angosto;501
nation;(néiSHon)  ;	Nacion;502
natural;(un-)  (náchural) ;	Natural;503
near;(ing-ed)  (niaR) ;	Cerca, cerca de;504
near ;nɪr ;cerca de ;1698
nearer;(niareR)  ;	Más cerca;505
nearest;(niarest)  ;	El más cerca ;506
neccessary;( nécesari) ;	Necesario ;507
necessary;ˈnɛsəˌsɛri;necesario;1230
neck;(nek)  ;	Cuello;508
need;(niid)  ;	Necesidad;509
need ;nid ;necesito ;1699
needle;(níidEL)  ;	Aguja, nervio;510
nerve;(néeRv)  ;	Nervio;511
net;(net)  ;	Red, malla;512
never;ˈnɛvər;nunca;1231
never ;ˈnɛvər ;nunca ;1700
new;(niúu)  ;	Nuevo;513
new ;nu ;nuevo ;1701
news;(niuuz)  ;	Noticia, noticias, informes;514
next;nɛkst;próximo;1232
next ;nɛkst ;siguiente ;1702
night;(nait)  ;	Noche;515
night ;naɪt ;noche ;1703
no;(noU)  ;	No, ningún, ninguno;516
no ;noʊ ;no ;1704
noise;(noiz)  ;	Ruido;517
nor;nɔr;ni;1233
normal;(nóoRmAL)  ;	Normal;518
north;(nooRz)  ;	Norte;519
north ;nɔrθ ;norte ;1705
northern;ˈnɔrðərn;del Norte;1234
nose;(noUz)  ;	Nariz;520
not;(not)  ;	No;521
note;(noting-d);	Nota, apunte, billete, señal ;523
note ;noʊt ;nota ;1706
nothing;ˈnʌθɪŋ;nada;1235
nothing ;ˈnʌθɪŋ ;nada ;1707
notice;(noodes) ; aviso,fijarse en ;522
notice ;ˈnoʊtəs ;nota ;1708
noun;naʊn;sustantivo;1236
noun ;naʊn ;sustantivo ;1709
november;(novémbeR)  ;	Noviembre;524
now;(nau)  ;	Ahora, actualmente;525
now ;naʊ ;ahora ;1710
number;(ing-ed)  (námber) ;	Número;526
number ;ˈnʌmbər ;número ;1711
numeral;ˈnumərəl;número;1237
numeral ;ˈnumərəl ;numeral ;1712
nut;(nat)  ;	Nuez;527
object;ˈɑbʤɛkt;objeto;1238
object ;ˈɑbʤɛkt ;objeto ;1713
observation;(ob- zervéiSHon)  ;	Observación ;528
observe;əbˈzɜrv;observar;1239
ocean;ˈoʊʃən;océano;1240
october;(octöUber)  ;	Octubre;529
of;(ov)  ;	De;530
of ;ʌv ;de ;1714
off;(of)  ;	Fuera de , lejos de, en distancia;531
off ;ɔf ;de;1715
offer;(er-ing-ed)  (ófer) ;	Oferta;532
office;(ófis)  ;	Oficina;533
often;ˈɔfən;a menudo;1241
often ;ˈɔfən ;a menudo ;1716
oh;oʊ;Vaya;1242
oh ;oʊ ;oh ;1717
oil;(er-ing-ed)  (oil) ;	Aceite;534
old;(oUld)  ;	Viejo, antiguo, añejo;535
old ;oʊld ;viejo ;1718
on;(on)  ;	Sobre, en;536
on ;ɑn ;en ;1719
once;wʌns;una vez;1243
once ;wʌns ;una vez ;1720
one;wʌn;uno;1244
one ;wʌn ;uno ;1721
only;(óUnli)  ;	Sólo, solamente;537
only ;ˈoʊnli ;solo ;1722
open;(er-ing-ed)  óUpEn) ;	Abierto;538
open ;ˈoʊpən ;abrir ;1723
operation;(operéiSHon)  ;	Operación;539
opinion;(opínion)  ;	Opinión;540
opposite;(ópozit)  ;	Opuesto, contrario;541
or;(ooR)  ;	O;542
or ;ɔr ;o ;1724
orange;(óren@)  (óren-y) ;	Naranja;543
order;(ing-ed)  (óoRdeR) ;	Orden ;544
order ;ˈɔrdər ;pedir ;1725
organization;(óoRganaizéiSHon)  ;	 Organización ;545
ornament;(óoRnamEnt)  ;	Adorno, ornamento;546
other;(áDZaR)  ádaR) ;	Otro, otra, otras, otros;547
other ;ˈʌðər ;otros ;1726
our;(áuaR)  ;	Nuestro, nuestra, nuestros, nuestras;548
our ;ˈaʊər ;nuestra ;1727
ourselves;(auaR-sélvs) auaR-élvEs) ; Nosotros mismos;549
out;aaaut;Fuera;550
out ;aʊt ;fuera ;1728
outer;(áuteR)  ;	Externo, exterior;551
outside;ˈaʊtˈsaɪd;afuera;1245
oven;(óvEn)  ;	Horno;552
over;(oUveR)  ;	Sobre, encima;553
over ;ˈoʊvər ;en ;1729
own;oʊn;propio;1246
own ;oʊn ;propio ;1730
owner;(óUneR)  ;	Dueño, propietario;554
oxygen;ˈɑksəʤən;oxígeno;1247
page;(pei@) ( pei-y) ;	Página;555
pain;(ing-ed)  (pein) ;	Dolor, pena;556
paint;(er-ing-ed)  (peint) ;	Pintura;557
pair;pɛr;par;1248
paper;(peipAR)  ;	Papel, periódico;558
paper ;ˈpeɪpər ;papel ;1731
paragraph;ˈpærəˌɡræf;párrafo;1249
parallel;(párarel)  ;	Paralelo;559
parcel;(páRsEL)  ;	Paquete;560
park;pɑrk;parque;1250
part;(ing-ed) ( paaRt) ;	Parte, porción;561
part ;pɑrt ;parte ;1732
particular;pərˈtɪkjələr;particular;1251
party;ˈpɑrti;fiesta;1252
pass ;pæs ;pasar ;1733
passed;pæst;aprobado;1253
past;(paast)  ;	Pasado;562
paste;(pasting-d)  (pest) ;	Pasta, goma, engrudo ;563
pattern;ˈpætərn;patrón;1254
pattern ;ˈpætərn ;patrón ;1734
pay;peɪ;pagar;1255
payment;(péimEnt)  ;	Pago;564
peace;(piis)  ;	Paz, tranquilidad;565
pen;(pen)  ;	Pluma;566
pencil;(pénsil)  ;	Lápiz;567
people;ˈpipəl;gente;1256
people ;ˈpipəl ;gente ;1735
per;pɜr;por;1257
perhaps;pərˈhæps;tal vez;1258
perhaps ;pərˈhæps ;quizás ;1736
period;ˈpɪriəd;período;1259
person;(péeR-sOn)  ;	Persona;568
person ;ˈpɜrsən ;persona ;1737
phrase;freɪz;frase;1260
physical;(fízicAl)  ;	Físico;569
picked;pɪkt;escogido;1261
picture;(picturing-d)  (pikcheR) ;	Cuadro, retrato, pintura ;570
picture ;ˈpɪkʧər ;imagen ;1738
piece;pis;pedazo;1262
piece ;pis ;pieza ;1739
pig;(pig)  ;	Cerdo;571
pin;(pin)  ;	Alfiler;572
pipe;(paip)  ;	Pipa, tubo, cañería ;573
place;(placing-d) ( pleis) ;	Lugar, sitio, colocación ;574
place ;pleɪs ;lugar ;1740
plain ;pleɪn ;llano ;1741
plains;pleɪnz;llanuras;1263
plan;plæn;plan;1264
plane;(planing-d)  (plein) ;	Cepillo (de madera;575
plane ;pleɪn ;plano ;1742
planets;ˈplænəts;planetas;1265
plant;(er-ing-ed)  (plaant) ;	Planta;576
plant ;plænt ;planta ;1743
plate;(pleit)  ;	Plato;577
platyer;(pléyeR)  ;jugador;579
play;(er-ing-ed)  (plei) ;	Juego, espectáculo, drama ;578
play ;pleɪ ;jugar ;1744
please;plíiiss;Por favor;580
pleasure;plaicheR;	Placer, agrado, gusto;581
plough;(er-ing-ed)  (plau) ;	Arado;582
plural;ˈplʊrəl;plural;1266
pocket;(póquet)  ;	Bolsillo;583
poem;ˈpoʊəm;poema;1267
point;(ing-ed)  (point) ;	Punta, punto ;584
point ;pɔɪnt ;punto ;1745
poison;(er-ing-ed)  (póizOn) ;	Veneno;585
pole;poʊl;polo;1268
polish;(er-ing-ed)  (poliSH) ;	Lustre, cortesía, pulimento ;586
political;(politicAl)  ;	Político;587
poor;(puéR)  ;	Pobre;588
port ;pɔrt ;puerto ;1746
porter;(póoRteR)  ;	Portero, mozo;589
position;(poziSHon)  ;	Posición;590
possible;(pósibEL)  ;	Posible;591
possible ;ˈpɑsəbəl ;posible ;1747
pot;(pot)  ;	Olla;592
potato;(potéitoU)  ;	Papa;593
pound ;paʊnd ;libra ;1748
pounds;paʊndz;libras;1269
powder;(ing-ed) (páudeR)  ;	Polvo, pólvora;594
power;(páueR)  ;	Poder;595
power ;ˈpaʊər ;poder ;1749
practice;ˈpræktəs;práctica;1270
prepared;priˈpɛrd;preparado;1271
present;(prézEnt)  ;	Presente, regalo;596
president;ˈprɛzəˌdɛnt;presidente;1272
press ;prɛs ;pulse ;1750
pretty;ˈprɪti;bonito;1273
price;(prais)  ;	Precio;597
print;(er-ing-ed)  (print) ;	Impresión, impreso ;598
printed;ˈprɪntəd;impreso;1274
prison;(er-ing-ed) ( prízOn) ;	Prisión, cárcel;599
private;(práivEt)  ;	Privado, particular, personal;600
probable;(próbabEL)  ;	Probable;601
probably;ˈprɑbəbli;probablemente;1275
problem;ˈprɑbləm;problema;1276
problem ;ˈprɑbləm ;problema ;1751
process;(próUses)  ;	Proceso;602
produce;(r-producing-d) (pródiuus) ; Producto, productos;603
produce ;ˈproʊdus ;producir ;1752
product ;ˈprɑdəkt ;producto ;1753
products;ˈprɑdəkts;productos;1277
profit;(ing-ed)  (prófit) ;	Ganancia, utilidad, provecho ;604
property;(própeRti)  ;	Propiedad, bienes raíces;605
prose;(proUz)  ;	Prosa;606
protest;(ing-ed)  (próUtest) ;	Protesta ;607
provide;prəˈvaɪd;proporcionar;1278
public;(páblik)  ;	Público;608
pull;(ing-ed)  (pul) ;	Tirón, sacudimiento;609
pull ;pʊl ;tirar de ;1754
pulled;pʊld;tirado;1279
pump;(ing-ed)  (pamp) ;	Bomba;610
punishment;(pániSH-mEnt)  ;	Castigo;611
purpose;(pérRpes)  ;	Intento, proyecto, propósito;612
push;(ing-ed)  (puSH) ;	Empujón;613
pushed;pʊʃt;empujado;1280
put;(put)  ;	Poner, colocar;614
put ;pʊt ;poner ;1755
quality;(cuóliti)  ;	Calidad;615
question;(er-ing-ed)  (cueschon) ;	Pregunta, interrogación ;616
question ;ˈkwɛsʧən ;pregunta ;1756
questions;ˈkwɛsʧənz;preguntas;1281
quick;(cuik)  ;	Rápido, veloz;617
quick ;kwɪk ;rápido ;1757
quickly;ˈkwɪkli;rápidamente;1282
quiet;(un-)  (cuáiet) ;	Tranquilo, quieto, pacífico;618
quite;(cuait)  ;	Completamente, enteramente;619
race;reɪs;carrera;1283
radio;ˈreɪdiˌoʊ;radio;1284
rail;(reil)  ;	Riel, barrera, baranda;620
rain;(ing-ed)  (rein) ;	Lluvia;621
rain ;reɪn ;lluvia ;1758
raised;reɪzd;aumentó;1285
ran;ræn;corrió;1286
ran ;ræn ;corrió ;1759
range;(rein@)  (rein-y) ;	Serie, fila, hilera, cadena de montañas;622
rat;(rat)  ;	Ratón;623
rate;(rating-d) ( reit) ;	Tasa, proporción, velocidad;624
rather;ˈræðər;bastante;1287
ray;(rei)  ;	Rayo;625
reach ;riʧ ;llegar a ;1760
reached;riʧt;alcanzó;1288
reaction;(riiák-Shon)  ;	Reacción;626
read;rid;leer;1289
read ;rid ;leer ;1761
reader;(ríider)  ;	Lector;627
reading;(ríidinG)  ;	Lectura, leyendo;628
ready;(un-)  rédi) ;	Listo, pronto, preparado ;629
ready ;ˈrɛdi ;listo ;1762
real;riəl;real;1290
real ;riəl ;real ;1763
really;ˈriəli;Realmente;1917
reason;(er-ing-ed)  (ríizOn) ;	Razón, fundamento ;630
receipt;(rissit)  ;	Recibo, receta;631
received;rəˈsivd;recibió;1291
record;(er-ing-ed)  (récooRd) ;Registro;632
record ;ˈrɛkərd ;grabar ;1764
red;rreeed;Rojo;633
red ;rɛd ;rojo ;1765
region;ˈriʤən;región;1292
regret;(rigrét)  ;	Remordimiento, pena, pesar;634
regular;(réguiulAR)  ;	Regular;635
relation;(riliéSHon)  ;	Relación, pariente;636
religion;(rilíyon)  ;	Religión ;637
remain;rɪˈmeɪn;permanecer;1293
remember;rɪˈmɛmbər;recordar;1294
remember ;rɪˈmɛmbər ;recordar ;1766
repeated;rɪˈpitɪd;repetido;1295
report;rɪˈpɔrt;informe;1296
represent;ˌrɛprəˈzɛnt;representar;1297
representative;(répri-zéntativ)  ;	Representante ;638
request;(ricuést)  ;	Petición, demanda ;639
respect;(ing-ed)  (rispect) ;	Respeto, respecto ;640
responsible;(un-)  (rispónsibEL) ;	Responsable;641
rest;(ing-ed)  (rest) ;	Descanso, reposo, resto ;642
rest ;rɛst ;resto ;1767
result;rɪˈzʌlt;resultado;1298
return;rɪˈtɜrn;devolver;1299
reward;(er-ing-ed)  (riuooRD) ;	Premio, recompensa ;643
rhythm;(riDZ-Em)  (rídEm) ;	Ritmo;644
rice;(rais)  ;	Arroz;645
rich;rɪʧ;rico;1300
rich ;rɪʧ ;rico ;1768
ride;raɪd;conducir;1301
right;(rait)  ;	Derecho;646
right ;raɪt ;derecha ;1769
ring;(ring)  ;	Aro;647
rise;raɪz;elevar;1302
river;(riveR)  ;	Río;648
river ;ˈrɪvər ;río ;1770
road;(roUd)  ;	Camino;649
road ;roʊd ;carretera ;1771
rock;rɑk;roca;1303
rod;(rod)  ;	Varilla, caña de pescar;650
roll;(er-ing-ed)  (roUl) ;	Rollo, rollo de papel, lista ;651
rolled;roʊld;arrollado;1304
